A340803000	安徽省安庆市大观区
A441502000	广东省汕尾市城区
A441521000	广东省汕尾市海丰县
A441581000	广东省汕尾市陆丰市
A441523000	广东省汕尾市陆河县
A440281000	广东省韶关市乐昌市
A440282000	广东省韶关市南雄市
A440205000	广东省韶关市曲江区
A440224000	广东省韶关市仁化县
A440232000	广东省韶关市乳源瑶族自治县
A440222000	广东省韶关市始兴县
A440229000	广东省韶关市翁源县
A440203000	广东省韶关市武江区
A440233000	广东省韶关市新丰县
A440204000	广东省韶关市浈江区
A440306000	广东省深圳市宝安区
A440320000	广东省深圳市大鹏新区
A440304000	广东省深圳市福田区
B440300000	广东省深圳市光明区
A440307000	广东省深圳市龙岗区
A4403001768	广东省深圳市龙华区
A440303000	广东省深圳市罗湖区
A440305000	广东省深圳市南山区
A440300002	广东省深圳市坪山区
A440308000	广东省深圳市盐田区
A441702000	广东省阳江市江城区
A441781000	广东省阳江市阳春市
A441723000	广东省阳江市阳东区
A441721000	广东省阳江市阳西县
A445381000	广东省云浮市罗定市
A445321000	广东省云浮市新兴县
A445322000	广东省云浮市郁南县
A445323000	广东省云浮市云安区
A445302000	广东省云浮市云城区
A440802000	广东省湛江市赤坎区
A440882000	广东省湛江市雷州市
A440881000	广东省湛江市廉江市
A440811000	广东省湛江市麻章区
A440804000	广东省湛江市坡头区
A440823000	广东省湛江市遂溪县
A440883000	广东省湛江市吴川市
A440803000	广东省湛江市霞山区
A440825000	广东省湛江市徐闻县
B440800000	广东省湛江市湛江经济技术开发区
B441200000	广东省肇庆市大旺高新技术开发区
A441226000	广东省肇庆市德庆县
A441203000	广东省肇庆市鼎湖区
A441202000	广东省肇庆市端州区
A441225000	广东省肇庆市封开县
A441283000	广东省肇庆市高要区
A441223000	广东省肇庆市广宁县
A441224000	广东省肇庆市怀集县
A441284000	广东省肇庆市四会市
A442000022	广东省中山市板芙镇
A442000023	广东省中山市大涌镇
A442000010	广东省中山市东凤镇
A442000002	广东省中山市东区街道
A442000011	广东省中山市东升镇
A442000019	广东省中山市阜沙镇
A442000015	广东省中山市港口镇
A442000012	广东省中山市古镇镇
A442000017	广东省中山市横栏镇
A442000008	广东省中山市黄圃镇
A442000003	广东省中山市火炬开发区街道
A442000009	广东省中山市民众镇
A4420001484	广东省中山市南朗镇
A442000005	广东省中山市南区街道
A442000018	广东省中山市南头镇
A442000016	广东省中山市三角镇
A442000021	广东省中山市三乡镇
A442000013	广东省中山市沙溪镇
A442000024	广东省中山市神湾镇
A442000001	广东省中山市石岐区街道
A442000014	广东省中山市坦洲镇
A442000006	广东省中山市五桂山街道
A442000004	广东省中山市西区街道
A442000007	广东省中山市小榄镇
A440403000	广东省珠海市斗门区
A440404000	广东省珠海市金湾区
A440402000	广东省珠海市香洲区
A451024000	广西壮族自治区百色市德保县
A451025000	广西壮族自治区百色市靖西市
A451028000	广西壮族自治区百色市乐业县
A451027000	广西壮族自治区百色市凌云县
A451031000	广西壮族自治区百色市隆林各族自治县
A451026000	广西壮族自治区百色市那坡县
A451023000	广西壮族自治区百色市平果县
A451022000	广西壮族自治区百色市田东县
A451029000	广西壮族自治区百色市田林县
A451021000	广西壮族自治区百色市田阳县
A451030000	广西壮族自治区百色市西林县
A451002000	广西壮族自治区百色市右江区
A450502000	广西壮族自治区北海市海城区
A450521000	广西壮族自治区北海市合浦县
A450512000	广西壮族自治区北海市铁山港区
A450503000	广西壮族自治区北海市银海区
A451424000	广西壮族自治区崇左市大新县
A451421000	广西壮族自治区崇左市扶绥县
A451402000	广西壮族自治区崇左市江州区
A451423000	广西壮族自治区崇左市龙州县
A451422000	广西壮族自治区崇左市宁明县
A451481000	广西壮族自治区崇左市凭祥市
A451425000	广西壮族自治区崇左市天等县
A450681000	广西壮族自治区防城港市东兴市
A450603000	广西壮族自治区防城港市防城区
A450602000	广西壮族自治区防城港市港口区
A450621000	广西壮族自治区防城港市上思县
A450802000	广西壮族自治区贵港市港北区
A450803000	广西壮族自治区贵港市港南区
A450881000	广西壮族自治区贵港市桂平市
A450821000	广西壮族自治区贵港市平南县
A450804000	广西壮族自治区贵港市覃塘区
A450303000	广西壮族自治区桂林市叠彩区
A450332000	广西壮族自治区桂林市恭城瑶族自治县
A450327000	广西壮族自治区桂林市灌阳县
A450331000	广西壮族自治区桂林市荔浦市
A450322000	广西壮族自治区桂林市临桂区
A450323000	广西壮族自治区桂林市灵川县
A450328000	广西壮族自治区桂林市龙胜各族自治县
A450330000	广西壮族自治区桂林市平乐县
A450305000	广西壮族自治区桂林市七星区
A450324000	广西壮族自治区桂林市全州县
A450304000	广西壮族自治区桂林市象山区
A450325000	广西壮族自治区桂林市兴安县
A450302000	广西壮族自治区桂林市秀峰区
A450311000	广西壮族自治区桂林市雁山区
A450321000	广西壮族自治区桂林市阳朔县
A450326000	广西壮族自治区桂林市永福县
A450329000	广西壮族自治区桂林市资源县
A451227000	广西壮族自治区河池市巴马瑶族自治县
A451229000	广西壮族自治区河池市大化瑶族自治县
A451224000	广西壮族自治区河池市东兰县
A451228000	广西壮族自治区河池市都安瑶族自治县
A451223000	广西壮族自治区河池市凤山县
A451226000	广西壮族自治区河池市环江毛南族自治县
A451202000	广西壮族自治区河池市金城江区
A451225000	广西壮族自治区河池市罗城仫佬族自治县
A451221000	广西壮族自治区河池市南丹县
A451222000	广西壮族自治区河池市天峨县
A451281000	广西壮族自治区河池市宜州区
A451102000	广西壮族自治区贺州市八步区
A451123000	广西壮族自治区贺州市富川瑶族自治县
B451100000	广西壮族自治区贺州市平桂区
A451121000	广西壮族自治区贺州市昭平县
A451122000	广西壮族自治区贺州市钟山县
A451381000	广西壮族自治区来宾市合山市
A451324000	广西壮族自治区来宾市金秀瑶族自治县
A451323000	广西壮族自治区来宾市武宣县
A451322000	广西壮族自治区来宾市象州县
A451321000	广西壮族自治区来宾市忻城县
A451302000	广西壮族自治区来宾市兴宾区
A450202000	广西壮族自治区柳州市城中区
A450205000	广西壮族自治区柳州市柳北区
A450222000	广西壮族自治区柳州市柳城县
A450221000	广西壮族自治区柳州市柳江区
A450204000	广西壮族自治区柳州市柳南区
A450223000	广西壮族自治区柳州市鹿寨县
A450224000	广西壮族自治区柳州市融安县
A450225000	广西壮族自治区柳州市融水苗族自治县
A450226000	广西壮族自治区柳州市三江侗族自治县
A450203000	广西壮族自治区柳州市鱼峰区
A450126000	广西壮族自治区南宁市宾阳县
A450127000	广西壮族自治区南宁市横县
A450105000	广西壮族自治区南宁市江南区
A450108000	广西壮族自治区南宁市良庆区
A450123000	广西壮族自治区南宁市隆安县
A450124000	广西壮族自治区南宁市马山县
A450103000	广西壮族自治区南宁市青秀区
A450125000	广西壮族自治区南宁市上林县
A450122000	广西壮族自治区南宁市武鸣区
A450107000	广西壮族自治区南宁市西乡塘区
A450102000	广西壮族自治区南宁市兴宁区
A450109000	广西壮族自治区南宁市邕宁区
A450721000	广西壮族自治区钦州市灵山县
A450722000	广西壮族自治区钦州市浦北县
A450703000	广西壮族自治区钦州市钦北区
A450702000	广西壮族自治区钦州市钦南区
B450700000	广西壮族自治区钦州市钦州港经济技术开发区
A450421000	广西壮族自治区梧州市苍梧县
A450481000	广西壮族自治区梧州市岑溪市
A450405000	广西壮族自治区梧州市长洲区
A450406000	广西壮族自治区梧州市龙圩区
A450423000	广西壮族自治区梧州市蒙山县
A450422000	广西壮族自治区梧州市藤县
A450403000	广西壮族自治区梧州市万秀区
A450981000	广西壮族自治区玉林市北流市
A450923000	广西壮族自治区玉林市博白县
B450900000	广西壮族自治区玉林市福绵区
A450922000	广西壮族自治区玉林市陆川县
A450921000	广西壮族自治区玉林市容县
A450924000	广西壮族自治区玉林市兴业县
A450902000	广西壮族自治区玉林市玉州区
A520424000	贵州省安顺市关岭布依族苗族自治县
A520421000	贵州省安顺市平坝区
A520422000	贵州省安顺市普定县
A520402000	贵州省安顺市西秀区
A520423000	贵州省安顺市镇宁布依族苗族自治县
A520425000	贵州省安顺市紫云苗族布依族自治县
A520521000	贵州省毕节市大方县
A520527000	贵州省毕节市赫章县
A520523000	贵州省毕节市金沙县
A520525000	贵州省毕节市纳雍县
A520502000	贵州省毕节市七星关区
A520522000	贵州省毕节市黔西县
A520526000	贵州省毕节市威宁彝族回族苗族自治县
A520524000	贵州省毕节市织金县
A520113000	贵州省贵阳市白云区
A520114000	贵州省贵阳市观山湖区
A520111000	贵州省贵阳市花溪区
A520121000	贵州省贵阳市开阳县
A520102000	贵州省贵阳市南明区
A520181000	贵州省贵阳市清镇市
A520112000	贵州省贵阳市乌当区
A520122000	贵州省贵阳市息烽县
A520123000	贵州省贵阳市修文县
A520103000	贵州省贵阳市云岩区
A520203000	贵州省六盘水市六枝特区
A520222000	贵州省六盘水市盘州市
A520221000	贵州省六盘水市水城县
A520201000	贵州省六盘水市钟山区
A522626000	贵州省黔东南苗族侗族自治州岑巩县
A522633000	贵州省黔东南苗族侗族自治州从江县
A522636000	贵州省黔东南苗族侗族自治州丹寨县
A522622000	贵州省黔东南苗族侗族自治州黄平县
A522629000	贵州省黔东南苗族侗族自治州剑河县
A522628000	贵州省黔东南苗族侗族自治州锦屏县
A522601000	贵州省黔东南苗族侗族自治州凯里市
A522634000	贵州省黔东南苗族侗族自治州雷山县
A522631000	贵州省黔东南苗族侗族自治州黎平县
A522635000	贵州省黔东南苗族侗族自治州麻江县
A522632000	贵州省黔东南苗族侗族自治州榕江县
A522624000	贵州省黔东南苗族侗族自治州三穗县
A522623000	贵州省黔东南苗族侗族自治州施秉县
A522630000	贵州省黔东南苗族侗族自治州台江县
A522627000	贵州省黔东南苗族侗族自治州天柱县
A522625000	贵州省黔东南苗族侗族自治州镇远县
A522729000	贵州省黔南布依族苗族自治州长顺县
A522701000	贵州省黔南布依族苗族自治州都匀市
A522726000	贵州省黔南布依族苗族自治州独山县
A522702000	贵州省黔南布依族苗族自治州福泉市
A522723000	贵州省黔南布依族苗族自治州贵定县
A522731000	贵州省黔南布依族苗族自治州惠水县
A522722000	贵州省黔南布依族苗族自治州荔波县
A522730000	贵州省黔南布依族苗族自治州龙里县
A522728000	贵州省黔南布依族苗族自治州罗甸县
A522727000	贵州省黔南布依族苗族自治州平塘县
A522732000	贵州省黔南布依族苗族自治州三都水族自治县
A522725000	贵州省黔南布依族苗族自治州瓮安县
A522328000	贵州省黔西南布依族苗族自治州安龙县
A522327000	贵州省黔西南布依族苗族自治州册亨县
A522323000	贵州省黔西南布依族苗族自治州普安县
A522324000	贵州省黔西南布依族苗族自治州晴隆县
A522326000	贵州省黔西南布依族苗族自治州望谟县
A522322000	贵州省黔西南布依族苗族自治州兴仁市
A522301000	贵州省黔西南布依族苗族自治州兴义市
A522325000	贵州省黔西南布依族苗族自治州贞丰县
A520602000	贵州省铜仁市碧江区
A520626000	贵州省铜仁市德江县
A520621000	贵州省铜仁市江口县
A520623000	贵州省铜仁市石阡县
A520624000	贵州省铜仁市思南县
A520628000	贵州省铜仁市松桃苗族自治县
A520603000	贵州省铜仁市万山区
A520627000	贵州省铜仁市沿河土家族自治县
A520625000	贵州省铜仁市印江土家族苗族自治县
A520622000	贵州省铜仁市玉屏侗族自治县
A520321000	贵州省遵义市播州区
A520381000	贵州省遵义市赤水市
A520325000	贵州省遵义市道真仡佬族苗族自治县
A520327000	贵州省遵义市凤冈县
A520302000	贵州省遵义市红花岗区
A520303000	贵州省遵义市汇川区
A520328000	贵州省遵义市湄潭县
A520382000	贵州省遵义市仁怀市
A520323000	贵州省遵义市绥阳县
A520322000	贵州省遵义市桐梓县
A520326000	贵州省遵义市务川仡佬族苗族自治县
A520330000	贵州省遵义市习水县
A520329000	贵州省遵义市余庆县
A520324000	贵州省遵义市正安县
A469025100	海南省白沙黎族自治县白沙黎族自治县
A469029100	海南省保亭黎族苗族自治县保亭黎族苗族自治县
A469026100	海南省昌江黎族自治县昌江黎族自治县
A469023100	海南省澄迈县澄迈县
A469003010	海南省儋州市白马井镇
A469003002	海南省儋州市大成镇
A469003004	海南省儋州市东成镇
A469003005	海南省儋州市峨蔓镇
A469003006	海南省儋州市光村镇
A469003026	海南省儋州市国营八一农场
A469003024	海南省儋州市国营蓝洋农场
A469003023	海南省儋州市国营西联农场
A469003001	海南省儋州市国营西培农场
A469003007	海南省儋州市海头镇
A469003008	海南省儋州市和庆镇
A469003009	海南省儋州市兰洋镇
A469003011	海南省儋州市木棠镇
A469003012	海南省儋州市那大镇
A469003013	海南省儋州市南丰镇
A469003014	海南省儋州市排浦镇
A469003015	海南省儋州市三都镇
A469003016	海南省儋州市王五镇
A469003017	海南省儋州市新州镇
A469003018	海南省儋州市雅星镇
A469003003	海南省儋州市洋浦经济开发区
A469003019	海南省儋州市中和镇
